NOV;MAKROELEM;THK;MINOSITES;FAJLAGOS
tavaszi árpa;Foszfor;1;jó;1,6
tavaszi árpa;Foszfor;1;igen jó;1,2
tavaszi árpa;Foszfor;2;igen gyenge;2,8
tavaszi árpa;Foszfor;2;gyenge;2,6
tavaszi árpa;Foszfor;2;közepes;2,4
tavaszi árpa;Foszfor;2;jó;2
tavaszi árpa;Foszfor;2;igen jó;1,4
tavaszi árpa;Foszfor;6;közepes;2,8
tavaszi árpa;Foszfor;6;jó;2,4
tavaszi árpa;Foszfor;6;igen jó;2
tavaszi árpa;Kalium;1;igen gyenge;3,4
tavaszi árpa;Kalium;1;gyenge;3,2
tavaszi árpa;Kalium;1;közepes;3
tavaszi árpa;Kalium;1;jó;2,4
tavaszi árpa;Kalium;1;igen jó;1,5
tavaszi árpa;Kalium;2;igen gyenge;3,7
tavaszi árpa;Kalium;2;gyenge;3,5
tavaszi árpa;Kalium;2;közepes;3,2
tavaszi árpa;Kalium;2;jó;2,8
tavaszi árpa;Kalium;2;igen jó;2,4
tavaszi árpa;Kalium;6;közepes;3,5
tavaszi árpa;Kalium;6;jó;3
tavaszi árpa;Kalium;6;igen jó;2,2
rozs;Nitrogen;4;igen gyenge;4,2
rozs;Nitrogen;4;gyenge;4,1
rozs;Nitrogen;4;közepes;4
rozs;Nitrogen;4;jó;3
rozs;Nitrogen;4;igen jó;2
rozs;Nitrogen;6;igen gyenge;3,6
rozs;Nitrogen;6;gyenge;3,4
rozs;Nitrogen;6;közepes;3,2
rozs;Nitrogen;6;jó;2,5
rozs;Nitrogen;6;igen jó;1,9
rozs;Foszfor;4;igen gyenge;3
rozs;Foszfor;4;gyenge;2,7
rozs;Foszfor;4;közepes;2,4
rozs;Foszfor;4;jó;2
rozs;Foszfor;4;igen jó;1,8
rozs;Foszfor;6;igen gyenge;2,5
rozs;Foszfor;6;gyenge;2,3
rozs;Foszfor;6;közepes;2,1
rozs;Foszfor;6;jó;1,7
rozs;Foszfor;6;igen jó;1,1
rozs;Kalium;4;igen gyenge;3,1
rozs;Kalium;4;gyenge;2,9
rozs;Kalium;4;közepes;2,6
rozs;Kalium;4;jó;2,2
rozs;Kalium;4;igen jó;1,5
rozs;Kalium;6;igen gyenge;3,5
rozs;Kalium;6;gyenge;3
rozs;Kalium;6;közepes;2,4
rozs;Kalium;6;jó;1,3
rozs;Kalium;6;igen jó;0,8
kukorica;Nitrogen;1;igen gyenge;3,3
kukorica;Nitrogen;1;gyenge;3
kukorica;Nitrogen;1;közepes;2,6
kukorica;Nitrogen;1;jó;2
kukorica;Nitrogen;1;igen jó;1,2
kukorica;Nitrogen;2;igen gyenge;3,4
kukorica;Nitrogen;2;gyenge;3,2
kukorica;Nitrogen;2;közepes;2,8
